Set	Organism	Sample	Type of read	Length of raw read	Number of raw reads	Number of high quality reads	Number of mapped reads	Alignment rate
CB	Capsicum baccatum "PBC81"	pericarp-1	PE	126	11365156	11128474	5503675	98.91
CB	Capsicum baccatum "PBC81"	pericarp-2	PE	126	11425030	11199834	5536618	98.87
CB	Capsicum baccatum "PBC81"	pericarp-3	PE	126	32373402	29834338	5370713	36
CB	Capsicum baccatum "PBC81"	placenta-1	PE	126	9498054	9312390	4599279	98.78
CB	Capsicum baccatum "PBC81"	placenta-2	PE	126	10831476	10606888	5243590	98.87
CB	Capsicum baccatum "PBC81"	placenta-3	PE	126	9599906	9395602	4644314	98.86
CB	Capsicum baccatum "PBC81"	stem-1	PE	126	27928864	26070078	5636303	43.24
CB	Capsicum baccatum "PBC81"	stem-2	PE	126	12631034	12310302	6025491	97.89
CB	Capsicum baccatum "PBC81"	stem-3	PE	126	30065376	26939028	4616348	34.27
CB	Capsicum baccatum "PBC81"	flower-1	PE	126	26745244	21636894	4675846	43.22
CB	Capsicum baccatum "PBC81"	flower-2	PE	126	9007276	8638050	4203708	97.33
CB	Capsicum baccatum "PBC81"	pericarpM-1	PE	126	11581676	11359008	5601564	98.63
CB	Capsicum baccatum "PBC81"	pericarpM-2	PE	126	12453072	12199492	6011305	98.55
CB	Capsicum baccatum "PBC81"	pericarpM-3	PE	126	11131000	10912796	5070915	92.94
CB	Capsicum baccatum "PBC81"	placentaM-1	PE	126	11995022	11759450	5790284	98.48
CB	Capsicum baccatum "PBC81"	placentaM-2	PE	126	12537818	12279592	6062150	98.74
CB	Capsicum baccatum "PBC81"	placentaM-3	PE	126	13048646	12790318	6315022	98.75
CB	Capsicum baccatum "PBC81"	leaf-1	PE	101	15694816	14279058	7012262	97.33
CB	Capsicum baccatum "PBC81"	leaf-2	PE	101	14164792	13422732	6577504	97.47
CB	Capsicum baccatum "PBC81"	leaf-3	PE	101	15665678	14597316	7139947	97.15
CB	Capsicum baccatum "PBC81"	root-1	PE	101	13093384	12533798	6173334	98.01
CB	Capsicum baccatum "PBC81"	root-2	PE	101	18202358	16836300	7496261	88.36
CB	Capsicum baccatum "PBC81"	root-3	PE	101	12509506	11938222	5882505	98.02
CaCM334_virus	Capsicum annuum "CM334"	mock_0-1	PE	101	14247564	13460414	6381635	94.82
CaCM334_virus	Capsicum annuum "CM334"	mock_0-2	PE	101	11479164	10755908	5128889	95.37
CaCM334_virus	Capsicum annuum "CM334"	mock_0-3	PE	101	14247160	13312440	6245215	93.83
CaCM334_virus	Capsicum annuum "CM334"	mock_1D-1	PE	101	13956488	13116480	6268147	95.58
CaCM334_virus	Capsicum annuum "CM334"	mock_1D-2	PE	101	14019888	13112754	6256714	95.43
CaCM334_virus	Capsicum annuum "CM334"	mock_1D-3	PE	101	15089948	14242170	6866258	96.42
CaCM334_virus	Capsicum annuum "CM334"	mock_2D-1	PE	101	18733774	17500238	8309810	94.97
CaCM334_virus	Capsicum annuum "CM334"	mock_2D-2	PE	101	16428422	15415314	7301429	94.73
CaCM334_virus	Capsicum annuum "CM334"	mock_2D-3	PE	101	16507042	15430218	7338118	95.11
CaCM334_virus	Capsicum annuum "CM334"	mock_30m-1	PE	101	13501810	12655460	6043366	95.51
CaCM334_virus	Capsicum annuum "CM334"	mock_30m-2	PE	101	14930100	13983356	6521632	93.28
CaCM334_virus	Capsicum annuum "CM334"	mock_30m-3	PE	101	11494606	10781744	5192231	96.32
CaCM334_virus	Capsicum annuum "CM334"	mock_3D-1	PE	101	13345894	12533224	5933902	94.69
CaCM334_virus	Capsicum annuum "CM334"	mock_3D-2	PE	101	15423690	14474698	6814067	94.15
CaCM334_virus	Capsicum annuum "CM334"	mock_3D-3	PE	101	17228266	16176840	7618956	94.2
CaCM334_virus	Capsicum annuum "CM334"	mock_4h-1	PE	101	14822668	13989204	6745410	96.44
CaCM334_virus	Capsicum annuum "CM334"	mock_4h-2	PE	101	27919330	26338342	12530253	95.15
CaCM334_virus	Capsicum annuum "CM334"	mock_4h-3	PE	101	16804868	15909092	7677290	96.51
CaCM334_virus	Capsicum annuum "CM334"	mock-up-1	PE	101	14177032	13228008	6201740	93.77
CaCM334_virus	Capsicum annuum "CM334"	mock-up-2	PE	101	14605258	13671894	6386407	93.42
CaCM334_Pc	Capsicum annuum "CM334"	Pc_0h-1	PE	151	10194432	9429210	3980184	84.42
CaCM334_Pc	Capsicum annuum "CM334"	Pc_0h-2	PE	151	12804912	11853164	5007839	84.5
CaCM334_Pc	Capsicum annuum "CM334"	Pc_0h-3	PE	151	12565978	11634584	4882252	83.93
CaCM334_Pc	Capsicum annuum "CM334"	Pc_12h-1	PE	151	16486052	15504678	7111543	91.73
CaCM334_Pc	Capsicum annuum "CM334"	Pc_12h-2	PE	151	7886626	7788978	3713822	95.36
CaCM334_Pc	Capsicum annuum "CM334"	Pc-12h-3	PE	151	8028460	7929806	3775088	95.21
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-1	PE	151	8939922	8827790	4170741	94.49
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-2	PE	151	6042784	5963818	2814667	94.39
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1D-3	PE	151	6343010	6235740	2942348	94.37
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-1	PE	151	9942444	9287058	3966740	85.43
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-2	PE	151	14074728	13161204	5655938	85.95
CaCM334_Pc	Capsicum annuum "CM334"	Pc_1h-3	PE	151	13120344	12243124	5230432	85.44
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-1	PE	151	15949586	14933234	6729344	90.13
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-2	PE	151	13582290	12695164	5515286	86.89
CaCM334_Pc	Capsicum annuum "CM334"	Pc_2h-3	PE	151	11258418	10612270	4805950	90.57
CaCM334_Pc	Capsicum annuum "CM334"	Pc_4h-1	PE	151	13493556	12839824	5888299	91.72
