GeneID	RT	ST	LF	BU	FL	FR1	FR2	FR3	FR4	FR5	FRB	FRB3	FRB5	FRB7
Capana01g000002	0	0	0	0	0	0	0	0	0	0.745841	0.347292	0.342734	2.136429	1.871183
Capana01g000004	18.020653	16.531847	19.30769	11.762694	12.334631	30.48411	27.556921	21.758865	23.940523	16.508379	12.928499	11.945454	9.290578	14.923182
Capana01g000005	46.644623	40.321014	23.609144	80.237099	29.325563	10.663586	9.91538	159.826477	66.344841	9.045937	26.194706	77.878899	406.753479	289.506226
Capana01g000006	41.677341	38.247078	39.256367	11.860604	21.561357	34.85886	31.218082	28.777838	32.719948	14.154761	16.219267	23.573261	29.514797	44.799065
Capana01g000010	25.268744	22.271933	31.016813	114.362999	8.264945	157.11293	64.900795	129.891632	68.621391	54.137211	82.7304	190.961121	2.007261	3.712259
Capana01g000008	86.534531	54.789421	42.094872	27.336353	30.339609	30.708197	36.680923	67.399467	54.401291	21.182772	28.130928	51.506634	30.237389	34.425594
Capana01g000009	7.303413	9.395237	3.876201	14.330091	2.920554	10.721815	9.252376	4.17306	6.491793	34.830578	9.225469	0.865906	1.1883	0.746674
Capana01g000013	97.475197	169.295486	129.650177	83.93708	185.473312	157.57254	143.725983	171.311188	160.409668	44.767494	45.364925	98.386818	104.9813	119.676826
Capana01g000016	7.285737	11.045054	14.549173	2.477604	5.345503	5.272252	8.76273	5.267931	5.855955	3.19181	5.962038	7.638413	4.457781	4.586988
Capana01g000014	34.169773	43.943176	26.5354	13.836357	17.965797	35.131142	39.692322	44.569443	42.35421	20.763851	17.817698	28.321945	70.018578	98.380424
Capana01g000018	13.434909	15.637294	8.773634	955.581665	90.348206	0	2.424923	0	0.910506	0	0	0	0	0
Capana01g000019	5.860056	0.058232	10.184603	20.961723	8.977861	1.210576	2.134931	0.459256	0.792145	0.806989	1.135534	2.485596	1.968878	4.931317
Capana01g000017	18.206289	73.847366	147.005157	22.431614	26.346859	80.598396	58.596092	66.646942	46.809574	37.234795	63.84053	295.307312	165.355316	174.834366
Capana01g000020	163.869507	90.251335	98.88456	194.137695	117.266418	105.230141	125.05088	232.923325	206.819107	114.9888	80.06456	162.625336	118.938919	217.093475
Capana01g000036	32.71027	22.831173	31.344463	8.400366	12.229454	31.808804	29.984339	25.227633	24.50629	17.799828	14.192303	20.409451	21.25318	32.560593
Capana01g000037	33.14555	22.387867	38.123455	7.178064	5.566798	28.070869	20.029661	18.214323	12.556884	7.575069	10.427144	14.5611	9.786485	15.207995
Capana01g000039	5.195919	0.565133	10.579338	0.278442	4.270635	7.004368	2.523846	1.986007	2.409309	3.54646	6.423136	1.320996	16.121269	23.836781
